Year,Prop
900,0
911,0.0001
918,0.0002
919,0.0003
921,0.0004
924,0.0005
924,0.0006
926,0.0007
927,0.0008
928,0.0009
930,0.001
930,0.0011
931,0.0012
931,0.0013
931,0.0014
933,0.0015
934,0.0016
934,0.0017
935,0.0018
935,0.0019
935,0.002
935,0.0021
936,0.0022
938,0.0023
938,0.0024
939,0.0025
941,0.0026
941,0.0027
942,0.0028
944,0.0029
945,0.003
945,0.0031
945,0.0032
947,0.0033
947,0.0034
947,0.0035
947,0.0036
948,0.0037
949,0.0038
949,0.0039
949,0.004
949,0.0041
950,0.0042
950,0.0043
950,0.0044
951,0.0045
951,0.0046
951,0.0047
952,0.0048
952,0.0049
953,0.005
953,0.0051
954,0.0052
954,0.0053
956,0.0054
956,0.0055
956,0.0056
956,0.0057
957,0.0058
957,0.0059
957,0.006
958,0.0061
958,0.0062
958,0.0063
959,0.0064
959,0.0065
959,0.0066
959,0.0067
959,0.0068
960,0.0069
960,0.007
960,0.0071
960,0.0072
961,0.0073
961,0.0074
961,0.0075
961,0.0076
961,0.0077
961,0.0078
962,0.0079
962,0.008
962,0.0081
963,0.0082
963,0.0083
964,0.0084
964,0.0085
964,0.0086
964,0.0087
964,0.0088
964,0.0089
965,0.009
965,0.0091
965,0.0092
965,0.0093
965,0.0094
965,0.0095
965,0.0096
965,0.0097
965,0.0098
965,0.0099
965,0.01
966,0.0101
966,0.0102
966,0.0103
967,0.0104
967,0.0105
967,0.0106
967,0.0107
968,0.0108
968,0.0109
968,0.011
968,0.0111
968,0.0112
969,0.0113
969,0.0114
969,0.0115
969,0.0116
970,0.0117
970,0.0118
970,0.0119
970,0.012
970,0.0121
971,0.0122
971,0.0123
971,0.0124
971,0.0125
971,0.0126
971,0.0127
971,0.0128
971,0.0129
971,0.013
971,0.0131
971,0.0132
971,0.0133
972,0.0134
972,0.0135
972,0.0136
972,0.0137
973,0.0138
973,0.0139
973,0.014
974,0.0141
974,0.0142
974,0.0143
974,0.0144
974,0.0145
974,0.0146
974,0.0147
974,0.0148
975,0.0149
975,0.015
975,0.0151
975,0.0152
975,0.0153
975,0.0154
975,0.0155
976,0.0156
976,0.0157
976,0.0158
976,0.0159
976,0.016
976,0.0161
976,0.0162
976,0.0163
976,0.0164
976,0.0165
976,0.0166
976,0.0167
976,0.0168
977,0.0169
977,0.017
977,0.0171
977,0.0172
977,0.0173
977,0.0174
977,0.0175
977,0.0176
977,0.0177
977,0.0178
978,0.0179
978,0.018
978,0.0181
978,0.0182
978,0.0183
978,0.0184
978,0.0185
978,0.0186
979,0.0187
979,0.0188
979,0.0189
979,0.019
979,0.0191
979,0.0192
979,0.0193
980,0.0194
980,0.0195
980,0.0196
980,0.0197
980,0.0198
980,0.0199
980,0.02
980,0.0201
980,0.0202
981,0.0203
981,0.0204
981,0.0205
981,0.0206
981,0.0207
981,0.0208
981,0.0209
981,0.021
981,0.0211
981,0.0212
981,0.0213
981,0.0214
981,0.0215
981,0.0216
981,0.0217
982,0.0218
982,0.0219
982,0.022
982,0.0221
982,0.0222
982,0.0223
982,0.0224
982,0.0225
982,0.0226
983,0.0227
983,0.0228
983,0.0229
983,0.023
983,0.0231
983,0.0232
983,0.0233
983,0.0234
983,0.0235
983,0.0236
983,0.0237
984,0.0238
984,0.0239
984,0.024
984,0.0241
984,0.0242
984,0.0243
984,0.0244
984,0.0245
985,0.0246
985,0.0247
985,0.0248
985,0.0249
985,0.025
985,0.0251
985,0.0252
986,0.0253
986,0.0254
986,0.0255
986,0.0256
986,0.0257
986,0.0258
986,0.0259
986,0.026
987,0.0261
987,0.0262
987,0.0263
987,0.0264
987,0.0265
987,0.0266
987,0.0267
987,0.0268
988,0.0269
988,0.027
988,0.0271
988,0.0272
988,0.0273
988,0.0274
989,0.0275
989,0.0276
989,0.0277
989,0.0278
989,0.0279
989,0.028
989,0.0281
989,0.0282
989,0.0283
990,0.0284
990,0.0285
990,0.0286
990,0.0287
990,0.0288
990,0.0289
991,0.029
991,0.0291
991,0.0292
991,0.0293
991,0.0294
991,0.0295
991,0.0296
991,0.0297
991,0.0298
991,0.0299
991,0.03
991,0.0301
991,0.0302
992,0.0303
992,0.0304
992,0.0305
992,0.0306
992,0.0307
992,0.0308
992,0.0309
992,0.031
992,0.0311
992,0.0312
992,0.0313
992,0.0314
992,0.0315
993,0.0316
993,0.0317
993,0.0318
993,0.0319
993,0.032
993,0.0321
993,0.0322
994,0.0323
994,0.0324
994,0.0325
994,0.0326
994,0.0327
994,0.0328
994,0.0329
994,0.033
994,0.0331
994,0.0332
994,0.0333
994,0.0334
994,0.0335
994,0.0336
994,0.0337
994,0.0338
995,0.0339
995,0.034
995,0.0341
995,0.0342
995,0.0343
995,0.0344
995,0.0345
995,0.0346
995,0.0347
995,0.0348
995,0.0349
995,0.035
995,0.0351
995,0.0352
995,0.0353
995,0.0354
995,0.0355
995,0.0356
996,0.0357
996,0.0358
996,0.0359
996,0.036
996,0.0361
996,0.0362
996,0.0363
996,0.0364
996,0.0365
996,0.0366
996,0.0367
997,0.0368
997,0.0369
997,0.037
997,0.0371
997,0.0372
997,0.0373
997,0.0374
997,0.0375
997,0.0376
998,0.0377
998,0.0378
998,0.0379
998,0.038
998,0.0381
998,0.0382
998,0.0383
998,0.0384
998,0.0385
998,0.0386
998,0.0387
998,0.0388
999,0.0389
999,0.039
999,0.0391
999,0.0392
999,0.0393
999,0.0394
999,0.0395
999,0.0396
999,0.0397
999,0.0398
999,0.0399
999,0.04
1000,0.0401
1000,0.0402
1000,0.0403
1000,0.0404
1000,0.0405
1000,0.0406
1000,0.0407
1000,0.0408
1000,0.0409
1000,0.041
1000,0.0411
1000,0.0412
1000,0.0413
1000,0.0414
1000,0.0415
1000,0.0416
1000,0.0417
1000,0.0418
1000,0.0419
1000,0.042
1000,0.0421
1000,0.0422
1001,0.0423
1001,0.0424
1001,0.0425
1001,0.0426
1001,0.0427
1001,0.0428
1001,0.0429
1001,0.043
1001,0.0431
1001,0.0432
1001,0.0433
1001,0.0434
1001,0.0435
1001,0.0436
1001,0.0437
1001,0.0438
1001,0.0439
1001,0.044
1001,0.0441
1001,0.0442
1001,0.0443
1002,0.0444
1002,0.0445
1002,0.0446
1002,0.0447
1002,0.0448
1002,0.0449
1002,0.045
1002,0.0451
1002,0.0452
1002,0.0453
1002,0.0454
1002,0.0455
1002,0.0456
1002,0.0457
1002,0.0458
1002,0.0459
1002,0.046
1002,0.0461
1002,0.0462
1003,0.0463
1003,0.0464
1003,0.0465
1003,0.0466
1003,0.0467
1003,0.0468
1003,0.0469
1003,0.047
1003,0.0471
1003,0.0472
1003,0.0473
1003,0.0474
1003,0.0475
1004,0.0476
1004,0.0477
1004,0.0478
1004,0.0479
1004,0.048
1004,0.0481
1004,0.0482
1004,0.0483
1004,0.0484
1004,0.0485
1004,0.0486
1004,0.0487
